Title,Author,Genre,Department,Available,Library Location,Library Name,Library Address,Open Time,Close Time,Library Incharge,Contact Email,Contact Phone,Tags
Principles of Microeconomics,N. Gregory Mankiw,Economics,Social Sciences,True,Shelf EC101,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Textbook,Microeconomics
Introduction to Algorithms,Thomas H. Cormen,Computer Science,Engineering,True,Shelf CS202,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Algorithm,Data Structures
Organic Chemistry,Paula Yurkanis Bruice,Chemistry,Sciences,False,Shelf CH303,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Chemistry,Textbook
Calculus: Early Transcendentals,James Stewart,Mathematics,Sciences,True,Shelf MA404,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Calculus,Mathematics
Psychology,David G. Myers,Psychology,Social Sciences,True,Shelf PS505,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Psychology,Introduction
The Elements of Style,William Strunk Jr.,Writing,Humanities,True,Shelf WR606,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Grammar,Writing Guide
A People's History of the United States,Howard Zinn,History,Humanities,False,Shelf HI707,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,American History,Social Justice
Economics,Paul Samuelson,Economics,Social Sciences,True,Shelf EC102,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Macroeconomics,Textbook
Computer Networking: A Top-Down Approach,James Kurose,Computer Science,Engineering,True,Shelf CS203,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Networking,Protocols
Physical Chemistry,Peter Atkins,Chemistry,Sciences,True,Shelf CH304,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Physical Chemistry,Thermodynamics
Linear Algebra and Its Applications,David C. Lay,Mathematics,Sciences,True,Shelf MA405,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Linear Algebra,Matrices
Social Psychology,Elliot Aronson,Psychology,Social Sciences,True,Shelf PS506,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Social Psychology,Group Behavior
On Writing Well,William Zinsser,Writing,Humanities,True,Shelf WR607,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Non-fiction Writing,Style Guide
Sapiens: A Brief History of Humankind,Yuval Noah Harari,History,Humanities,True,Shelf HI708,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,World History,Anthropology
Microeconomic Theory,Walter Nicholson,Economics,Social Sciences,True,Shelf EC103,emerson uni main library,Near zoolgy department near sport ground,08:00,05:00,Muhammad Waris Bhatti,info@eum.edu.pk,+92 3091702065,Microeconomics,Advanced
